county_name,municipality_name,property_location,deed_date,Year,Quarter, sale_price ,Price_Range,sale_assessment,Sale_Range,residential,Treated,Time,Interaction,Time_Placebo,Interaction_Placebo
ATLANTIC,Longport Borough,101 SO 14TH AVE,9/30/10,2010,2010-Q3,3650000,0,2455900,0,1,0.73,0,0,0,0
ATLANTIC,Longport Borough,116 SO 15TH AV,9/30/10,2010,2010-Q3,2135000,0,1855600,1,1,0.73,0,0,0,0
ATLANTIC,Longport Borough,111 SO 16TH AVE #305,8/31/10,2010,2010-Q3,230000,1,235000,1,1,0.73,0,0,0,0
ATLANTIC,Longport Borough,109 SO 21ST AVE,9/17/10,2010,2010-Q3,1,0,3237200,0,1,0.73,0,0,0,0
ATLANTIC,Longport Borough,2700 ATLANTIC AV 301,8/28/10,2010,2010-Q3,1,0,550000,1,1,0.73,0,0,0,0
ATLANTIC,Longport Borough,2700 ATLANTIC AV 714,8/26/10,2010,2010-Q3,405000,1,425000,1,1,0.73,0,0,0,0
ATLANTIC,Longport Borough,2704 OBERON AV,9/23/10,2010,2010-Q3,1,0,345200,1,1,0.73,0,0,0,0
ATLANTIC,Longport Borough,4 SO 28TH AV,9/23/10,2010,2010-Q3,1,0,335100,1,1,0.73,0,0,0,0
ATLANTIC,Longport Borough,1 SO 29TH AVE.,9/23/10,2010,2010-Q3,515000,1,544000,1,1,0.73,0,0,0,0
ATLANTIC,Longport Borough,7 NO 29TH AVE,9/1/10,2010,2010-Q3,1,0,585400,1,1,0.73,0,0,0,0
ATLANTIC,Longport Borough,39 NO OVERBROOK AVE,7/28/10,2010,2010-Q3,480000,1,508600,1,1,0.73,0,0,0,0
ATLANTIC,Longport Borough,2 SO 30TH AVE,9/3/10,2010,2010-Q3,1,0,1269300,1,1,0.73,0,0,0,0
ATLANTIC,Longport Borough,2927 LONGPORT DRIVE,7/30/10,2010,2010-Q3,625000,1,556900,1,1,0.73,0,0,0,0
ATLANTIC,Longport Borough,117 NO EVERGREEN AVE,8/27/10,2010,2010-Q3,740000,1,643400,1,1,0.73,0,0,0,0
ATLANTIC,Longport Borough,3006 SUNSET AVE,9/30/10,2010,2010-Q3,641000,1,542800,1,1,0.73,0,0,0,0
ATLANTIC,Longport Borough,200 NO 32ND AVE,7/22/10,2010,2010-Q3,2825000,0,2213000,0,1,0.73,0,0,0,0
ATLANTIC,Longport Borough,28 SO 34TH AVE,8/31/10,2010,2010-Q3,1,0,758700,1,1,0.73,0,0,0,0
ATLANTIC,Longport Borough,3307 AMHERST AVE,9/16/10,2010,2010-Q3,1,0,758400,1,1,0.73,0,0,0,0
ATLANTIC,Longport Borough,17 NO 34TH AVE,9/14/10,2010,2010-Q3,1250000,1,723100,1,1,0.73,0,0,0,0
